"","periodo","periodo_fecha","precios"
"1","2022-1","1/01/2022",6.54e+08
"2","2022-1","1/01/2022",1121104500
"3","2022-1","1/01/2022",267920000
"4","2022-1","1/01/2022",1314150000
"5","2022-1","1/01/2022",1.95e+08
"6","2022-1","1/01/2022",1.99e+08
"7","2022-1","1/01/2022",706143876
"8","2022-1","1/01/2022",607584000
"9","2022-1","1/01/2022",7e+07
"10","2022-1","1/01/2022",94840000
"11","2022-1","1/01/2022",2.2e+08
"12","2022-1","1/01/2022",2.1e+08
"13","2022-1","1/01/2022",1.5e+08
"14","2022-1","1/01/2022",156780000
"15","2022-1","1/01/2022",336453000
"16","2022-1","1/01/2022",221539673
"17","2022-1","1/01/2022",6.68e+08
"18","2022-1","1/01/2022",678655500
"19","2022-1","1/01/2022",1.5e+08
"20","2022-1","1/01/2022",34704000
"21","2022-1","1/01/2022",9e+07
"22","2022-1","1/01/2022",59640000
"23","2022-1","1/01/2022",940725000
"24","2022-1","1/01/2022",6.42e+08
"25","2022-1","1/01/2022",6.2e+07
"26","2022-2","1/02/2022",91616000
"27","2022-2","1/02/2022",9e+08
"28","2022-1","1/01/2022",545060500
"29","2022-2","1/02/2022",696321211
"30","2022-2","1/02/2022",9.35e+08
"31","2022-1","1/01/2022",191900000
"32","2022-1","1/01/2022",6.6e+07
"33","2022-1","1/01/2022",1785770000
"34","2022-1","1/01/2022",180560000
"35","2022-2","1/02/2022",986405000
"36","2022-1","1/01/2022",132175000
"37","2022-1","1/01/2022",1560950000
"38","2022-1","1/01/2022",580172500
"39","2022-1","1/01/2022",152300000
"40","2022-1","1/01/2022",198849000
"41","2022-2","1/02/2022",1.68e+08
"42","2022-2","1/02/2022",9.4e+07
"43","2022-2","1/02/2022",363010890
"44","2022-2","1/02/2022",2.8e+08
"45","2022-1","1/01/2022",204120000
"46","2022-1","1/01/2022",148837500
"47","2022-1","1/01/2022",1.75e+08
"48","2022-1","1/01/2022",1.4e+08
"49","2022-1","1/01/2022",2299673004
"50","2022-1","1/01/2022",6.93e+08
"51","2022-1","1/01/2022",528150000
"52","2022-1","1/01/2022",851994525
"53","2022-1","1/01/2022",455372460
"54","2022-1","1/01/2022",3.927e+09
"55","2022-1","1/01/2022",145139450
"56","2022-1","1/01/2022",5.86e+08
"57","2022-1","1/01/2022",424793500
"58","2022-1","1/01/2022",143100000
"59","2022-1","1/01/2022",1.05e+08
"60","2022-1","1/01/2022",136369000
